year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
services_unprotected_steel_coated,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,B1S_2,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_UNP_COATED
services_cathodically_protected_steel_bare,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,B1S_3,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_BARE
services_cathodically_protected_steel_coated,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,B1S_4,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_STEEL_CP_COATED
services_plastic,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,B1S_5,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC,NUM_SRVS_PLASTIC
services_cast_or_wrought_iron,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,B1S_6,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI,NUM_SRVS_CI
services_ductile_iron,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,B1S_7,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI,NUM_SRVS_DI
services_copper,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,B1S_8,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU,NUM_SRVS_CU
services_other,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,B1S_9,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER,NUM_SRVS_OTHER
services_other_alt,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,B1S_10,,,,,,,,,,,,,
services_reconditioned_cast_iron,,,,,,,,,,,,,,,,,,,,,,,,,,NUM_SRVS_RCI,NUM_SRVS_RCI,NUM_SRVS_RCI,NUM_SRVS_RCI,NUM_SRVS_RCI,NUM_SRVS_RCI,NUM_SRVS_RCI,NUM_SRVS_RCI
