year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
onshore_type_b_gathering_plastic,,,,,,,,,,,,,,,,,,,,,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp,partpgontbp
onshore_type_b_gathering_composite,,,,,,,,,,,,,,,,,,,,,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc,partpgontbc
onshore_type_b_gathering_other,,,,,,,,,,,,,,,,,,,,,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo,partpgontbo
onshore_type_b_gathering_total,,,,,,,,,,,,,,,,,,,,,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal,partpgonbtotal
onshore_type_c_gathering_steel_cathodically_protected_bare,,,,,,,,,,,,,,,,,,,,,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb,partpgontccpb
onshore_type_c_gathering_steel_cathodically_protected_coated,,,,,,,,,,,,,,,,,,,,,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc,partpgontccpc
onshore_type_c_gathering_steel_cathodically_unprotected_bare,,,,,,,,,,,,,,,,,,,,,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub,partpgontccub
onshore_type_c_gathering_steel_cathodically_unprotected_coated,,,,,,,,,,,,,,,,,,,,,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc,partpgontccuc
onshore_type_c_gathering_cast_iron,,,,,,,,,,,,,,,,,,,,,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci,partpgontcci
onshore_type_c_gathering_wrought_iron,,,,,,,,,,,,,,,,,,,,,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi,partpgontcwi
onshore_type_c_gathering_plastic,,,,,,,,,,,,,,,,,,,,,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp,partpgontcp
onshore_type_c_gathering_composite,,,,,,,,,,,,,,,,,,,,,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc,partpgontcc
onshore_type_c_gathering_other,,,,,,,,,,,,,,,,,,,,,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco,partpgontco
onshore_type_c_gathering_total,,,,,,,,,,,,,,,,,,,,,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal,partpgonctotal
offshore_gathering_steel_cathodically_protected_bare,,,,,,,,,,,,,,,,,,,,,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb,partpgoffcpb
offshore_gathering_steel_cathodically_protected_coated,,,,,,,,,,,,,,,,,,,,,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc,partpgoffcpc
offshore_gathering_steel_cathodically_unprotected_bare,,,,,,,,,,,,,,,,,,,,,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub,partpgoffcub
offshore_gathering_steel_cathodically_unprotected_coated,,,,,,,,,,,,,,,,,,,,,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc,partpgoffcuc
offshore_gathering_cast_iron,,,,,,,,,,,,,,,,,,,,,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci,partpgoffci
offshore_gathering_wrought_iron,,,,,,,,,,,,,,,,,,,,,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi,partpgoffwi
offshore_gathering_plastic,,,,,,,,,,,,,,,,,,,,,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp,partpgoffp
offshore_gathering_composite,,,,,,,,,,,,,,,,,,,,,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc,partpgoffc
offshore_gathering_other,,,,,,,,,,,,,,,,,,,,,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo,partpgoffo
offshore_gathering_total,,,,,,,,,,,,,,,,,,,,,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal,partpgofftotal
total_gathering_steel_cathodically_protected_bare,,,,,,,,,,,,,,,,,,,,,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal,partpgcpbtotal
total_gathering_steel_cathodically_protected_coated,,,,,,,,,,,,,,,,,,,,,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal,partpgcpctotal
total_gathering_steel_cathodically_unprotected_bare,,,,,,,,,,,,,,,,,,,,,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal,partpgcubtotal
total_gathering_steel_cathodically_unprotected_coated,,,,,,,,,,,,,,,,,,,,,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal,partpgcuctotal
total_gathering_cast_iron,,,,,,,,,,,,,,,,,,,,,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal,partpgcitotal
total_gathering_wrought_iron,,,,,,,,,,,,,,,,,,,,,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal,partpgwitotal
total_gathering_plastic,,,,,,,,,,,,,,,,,,,,,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal,partpgptotal
total_gathering_composite,,,,,,,,,,,,,,,,,,,,,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal,partpgctotal
total_gathering_other,,,,,,,,,,,,,,,,,,,,,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal,partpgototal
total_gathering_total,,,,,,,,,,,,,,,,,,,,,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal,partpgtotal
total_total_steel_cathodically_protected_bare,,,,,,,,,,,,,,,,,,,,,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal,partpcpbtotal
