year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
operator_id_phmsa,,,,,,,,,,,,,,,,,,,,,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
report_number,,,,,,,,,,,,,,,,,,,,,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
report_year,,,,,,,,,,,,,,,,,,,,,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_state,,,,,,,,,,,,,,,,,,,,,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
supplemental_report_number,,,,,,,,,,,,,,,,,,,,,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
offshore_steel_pipe_smys_72_to_100_class_1_miles,,,,,,,,,,,,,,,,,,,,,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more,partkoff72more
offshore_steel_pipe_smys_0_to_49_class_1_miles,,,,,,,,,,,,,,,,,,,,,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50,partkoffless50
offshore_nonsteel_pipe_smys_total_class_1_miles,,,,,,,,,,,,,,,,,,,,,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel,partkoffnonsteel
offshore_total_pipe_smys_total_class_1_miles,,,,,,,,,,,,,,,,,,,,,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal,partkofftotal
offshore_steel_pipe_smys_unknown_class_1_miles,,,,,,,,,,,,,,,,,,,,,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown,partkoffunknown
onshore_total_pipe_smys_total_class_1_miles,,,,,,,,,,,,,,,,,,,,,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot,partkonc1tot
onshore_total_pipe_smys_total_class_2_miles,,,,,,,,,,,,,,,,,,,,,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot,partkonc2tot
onshore_total_pipe_smys_total_class_3_miles,,,,,,,,,,,,,,,,,,,,,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot,partkonc3tot
onshore_total_pipe_smys_total_class_4_miles,,,,,,,,,,,,,,,,,,,,,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot,partkonc4tot
onshore_total_pipe_smys_total_class_total_miles,,,,,,,,,,,,,,,,,,,,,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal,partkontotal
total_total_pipe_smys_total_class_total_miles,,,,,,,,,,,,,,,,,,,,,partktotal,partktotal,partktotal,partktotal,partktotal,partktotal,partktotal,partktotal,partktotal,partktotal,partktotal,partktotal,partktotal
onshore_steel_pipe_smys_unknown_class1_miles,,,,,,,,,,,,,,,,,,,,,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1,partkunknownc1
onshore_steel_pipe_smys_unknown_class2_miles,,,,,,,,,,,,,,,,,,,,,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2,partkunknownc2
onshore_steel_pipe_smys_unknown_class3_miles,,,,,,,,,,,,,,,,,,,,,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3,partkunknownc3
onshore_steel_pipe_smys_unknown_class4_miles,,,,,,,,,,,,,,,,,,,,,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4,partkunknownc4
onshore_steel_pipe_smys_unknown_class_total_miles,,,,,,,,,,,,,,,,,,,,,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot,partkunknowntot
