year_index,1970-1979,1980-1981,1982-1983,1984-1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
miles_onshore_a_gathering_pipe_nps_58_and_over,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER,PARTIONA58OVER
miles_onshore_a_gathering_pipe_other_size,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL,PARTIONA_OTHER_PIPE_MILE_TOTAL
miles_onshore_a_gathering_pipe_other_size_detail,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL,PARTIONA_OTHER_PIPE_DETAIL
miles_onshore_a_gathering_pipe_unknown_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_nps_4_to_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_nps_10_to_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_nps_20_to_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_nps_28_and_over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_total,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL,PARTIONATOTAL
miles_offshore_gathering_pipe_nps_4_or_less,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS,PARTIOFF4LESS
miles_offshore_gathering_pipe_nps_6,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6,PARTIOFF6
miles_offshore_gathering_pipe_nps_8,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8,PARTIOFF8
miles_offshore_gathering_pipe_nps_10,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10,PARTIOFF10
miles_offshore_gathering_pipe_nps_12,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12,PARTIOFF12
miles_offshore_gathering_pipe_nps_14,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14,PARTIOFF14
miles_offshore_gathering_pipe_nps_16,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16,PARTIOFF16
miles_offshore_gathering_pipe_nps_18,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18,PARTIOFF18
miles_offshore_gathering_pipe_nps_20,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20,PARTIOFF20
miles_offshore_gathering_pipe_nps_22,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22,PARTIOFF22
miles_offshore_gathering_pipe_nps_24,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24,PARTIOFF24
miles_offshore_gathering_pipe_nps_26,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26,PARTIOFF26
miles_offshore_gathering_pipe_nps_28,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28,PARTIOFF28
miles_offshore_gathering_pipe_nps_30,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30,PARTIOFF30
miles_offshore_gathering_pipe_nps_32,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32,PARTIOFF32
miles_offshore_gathering_pipe_nps_34,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34,PARTIOFF34
miles_offshore_gathering_pipe_nps_36,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36,PARTIOFF36
miles_offshore_gathering_pipe_nps_38,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38,PARTIOFF38
miles_offshore_gathering_pipe_nps_40,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40,PARTIOFF40
miles_offshore_gathering_pipe_nps_42,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42,PARTIOFF42
miles_offshore_gathering_pipe_nps_44,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44,PARTIOFF44
miles_offshore_gathering_pipe_nps_46,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46,PARTIOFF46
