year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
repaired_leaks_gathering_manufacturing_offshore_total,,,,,,,,,,,,,,,,,,,,,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff
repaired_leaks_transmission_construction_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca
repaired_leaks_transmission_construction_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaco,partmtlfmcaco,partmtlfmcaco,partmtlfmcaco
repaired_leaks_transmission_construction_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,,,,
repaired_leaks_transmission_construction_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34co,partmtlfcl34co,partmtlfcl34co,partmtlfcl34co
repaired_leaks_transmission_construction_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12co,partmtlfcl12co,partmtlfcl12co,partmtlfcl12co
repaired_leaks_transmission_construction_onshore_total,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,,,,,,,,,,,,,,,,,,,,,,,,
repaired_leaks_transmission_construction_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca
repaired_leaks_transmission_construction_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca
repaired_leaks_transmission_construction_offshore_total,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,,,,,,,,,,,,,,,,,,,,,,,,
repaired_failures_transmission_construction,,,,,,,,,,,,,,,,,,,,,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca
repaired_leaks_gathering_construction_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona
repaired_leaks_gathering_construction_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb
repaired_leaks_gathering_construction_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcconc,partmgcconc,partmgcconc,partmgcconc
repaired_leaks_gathering_construction_onshore_total,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,,,,,,,,,,,,,,,,,,,,,,,,
repaired_leaks_gathering_construction_offshore_total,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,,,,,,,,,,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff
