,plant_id_eia,plant_name_eia,utility_id_eia,utility_name_eia,state,capacity_mw
491,61926,"armadillo flats wind project, llc",,,OK,497.3
492,61927,georgia-pacific taylorsville plywood,,,MS,14.4
493,61928,saint albans solar,,,VT,9.8
494,61930,techren solar ii llc,,,NV,400.0
495,61931,techren solar iii llc,,,NV,50.0
496,61932,techren solar iv llc,,,NV,50.0
497,61933,adams nielson solar,,,WA,38.4
498,61934,wha southbridge solar park,,,DE,2.0
499,61935,1634 solar,,,SC,4.0
500,61936,abbot solar,,,SC,4.0
501,61937,ace solar,60163,soltage llc,SC,2.0
502,61938,bani solar,,,SC,4.0
503,61939,blacktip solar,,,SC,4.0
504,61940,bloom solar,,,SC,4.0
505,61941,bond solar,,,SC,4.0
506,61942,gary solar,,,SC,4.0
507,61943,goldenrod solar,,,SC,4.0
508,61944,jessamine solar,,,SC,3.8
509,61945,pelzer solar i,,,SC,2.0
510,61946,redwing solar,60163,soltage llc,SC,4.0
511,61947,river solar,,,SC,4.0
512,61948,sapphire solar,,,SC,4.0
513,61949,south solar,,,SC,4.0
514,61950,vincent solar,,,SC,4.0
515,61951,watauga solar,,,SC,4.0
516,61952,whitt solar,,,SC,4.0
517,61953,willis solar,,,SC,4.0
518,61954,delta solar power i,,,MI,16.2
519,61955,delta solar power ii,,,MI,31.8
520,61956,mcrd parris island pv,60146,ameresco federal solutions,SC,27.0
521,61957,"pratt wind, llc",,,KS,486.5
522,61958,broadalbin-perth solar,,,NY,3.0
523,61959,none,,,VT,39.2
524,61960,atood ii,,,SC,2.0
525,61961,gaston ii,,,SC,7.5
526,61962,holstein 1 solar farm,,,TX,200.0
527,61965,"quakertown solar farm, llc",56990,njr clean energy ventures corporation,NJ,8.8
528,61966,victoria port power ii llc,,,TX,100.0
529,61967,norton solar farm,,,TX,125.0
530,61968,"chisago holdco llc, csg",,,MN,3.0
531,61969,"torrecillas wind energy, llc",,,TX,300.0
532,61970,"blue summit ii wind, llc",,,TX,99.4
533,61971,corcoran csg,60281,"altus power america management, llc",MN,5.0
534,61972,richardson solar ii,,,SC,3.6
535,61973,blackville solar ii,,,SC,20.0
536,61974,diamond solar ii,,,SC,8.2
537,61975,edison solar ii,,,SC,4.8
538,61976,peony solar,,,SC,39.0
539,61977,cornillie,57081,"wgl energy systems, inc",MN,1.0
540,61978,pinesage,,,NC,5.0
541,61979,syncarpha prinsburg csg (ledeboer),,,MN,1.0
542,61980,syncarpha clara city csg i (stamer),,,MN,1.0
543,61982,columbia solar power plant,6455,"duke energy florida, inc",FL,74.9
544,61983,cottage grove project csg,,,MN,4.9
545,61984,"solomon forks wind project, llc",56201,engie north america,KS,275.6
