year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fuel_mmbtu_per_unit_april,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtu_per_unit_apr,mmbtuper_unit_apr,mmbtuper_unit_april,mmbtuper_unit_apr,mmbtuper_unit_april,mmbtuper_unit_april,mmbtuper_unit_april,mmbtuper_unit_april,mmbtuper_unit_april,mmbtuper_unit_april,mmbtuper_unit_april
fuel_mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtu_per_unit_may,mmbtuper_unit_may,mmbtuper_unit_may,mmbtuper_unit_may,mmbtuper_unit_may,mmbtuper_unit_may,mmbtuper_unit_may,mmbtuper_unit_may,mmbtuper_unit_may,mmbtuper_unit_may,mmbtuper_unit_may
fuel_mmbtu_per_unit_june,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtu_per_unit_jun,mmbtuper_unit_jun,mmbtuper_unit_june,mmbtuper_unit_jun,mmbtuper_unit_june,mmbtuper_unit_june,mmbtuper_unit_june,mmbtuper_unit_june,mmbtuper_unit_june,mmbtuper_unit_june,mmbtuper_unit_june
fuel_mmbtu_per_unit_july,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtu_per_unit_jul,mmbtuper_unit_jul,mmbtuper_unit_july,mmbtuper_unit_jul,mmbtuper_unit_july,mmbtuper_unit_july,mmbtuper_unit_july,mmbtuper_unit_july,mmbtuper_unit_july,mmbtuper_unit_july,mmbtuper_unit_july
fuel_mmbtu_per_unit_august,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtu_per_unit_aug,mmbtuper_unit_aug,mmbtuper_unit_august,mmbtuper_unit_aug,mmbtuper_unit_august,mmbtuper_unit_august,mmbtuper_unit_august,mmbtuper_unit_august,mmbtuper_unit_august,mmbtuper_unit_august,mmbtuper_unit_august
fuel_mmbtu_per_unit_september,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtu_per_unit_sep,mmbtuper_unit_sep,mmbtuper_unit_september,mmbtuper_unit_sep,mmbtuper_unit_september,mmbtuper_unit_september,mmbtuper_unit_september,mmbtuper_unit_september,mmbtuper_unit_september,mmbtuper_unit_september,mmbtuper_unit_september
fuel_mmbtu_per_unit_october,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtu_per_unit_oct,mmbtuper_unit_oct,mmbtuper_unit_october,mmbtuper_unit_oct,mmbtuper_unit_october,mmbtuper_unit_october,mmbtuper_unit_october,mmbtuper_unit_october,mmbtuper_unit_october,mmbtuper_unit_october,mmbtuper_unit_october
fuel_mmbtu_per_unit_november,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtu_per_unit_nov,mmbtuper_unit_nov,mmbtuper_unit_november,mmbtuper_unit_nov,mmbtuper_unit_november,mmbtuper_unit_november,mmbtuper_unit_november,mmbtuper_unit_november,mmbtuper_unit_november,mmbtuper_unit_november,mmbtuper_unit_november
fuel_mmbtu_per_unit_december,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtu_per_unit_dec,mmbtuper_unit_dec,mmbtuper_unit_december,mmbtuper_unit_dec,mmbtuper_unit_december,mmbtuper_unit_december,mmbtuper_unit_december,mmbtuper_unit_december,mmbtuper_unit_december,mmbtuper_unit_december,mmbtuper_unit_december
fuel_consumed_mmbtu_january,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtu_jan,tot_mmbtujan,tot_mmbtu_january,tot_mmbtujan,tot_mmbtu_january,tot_mmbtu_january,tot_mmbtu_january,tot_mmbtu_january,tot_mmbtu_january,tot_mmbtu_january,tot_mmbtu_january
