respondent_id,respondent_name,plant_name
22,Cleco Power LLC,RODEMACHER UNIT 2
22,Cleco Power LLC,DOLET HILLS
22,Cleco Power LLC,FRANKLIN
22,Cleco Power LLC,Teche
22,Cleco Power LLC,Nesbitt Unit 1
22,Cleco Power LLC,Rodemacher 2
22,Cleco Power LLC,Dolet Hills Power
22,Cleco Power LLC,Franklin
22,Cleco Power LLC,Madison Unit 3
22,Cleco Power LLC,Acadia Power Block 1
22,Cleco Power LLC,Teche 4
22,Cleco Power LLC,Rodemacher Unit 2
22,Cleco Power LLC,Acadia Unit
22,Cleco Power LLC,Acadia Unit 1
22,Cleco Power LLC,Coughlin
22,Cleco Power LLC,NONE
22,Cleco Power LLC,NOT APPLICABLE
23,Central Maine Power Company,None
24,AEP Texas Central Company,Nueces Bay
24,AEP Texas Central Company,"La Palma #4, #5, #6"
24,AEP Texas Central Company,Laredo
24,AEP Texas Central Company,Lon C. Hill
24,AEP Texas Central Company,Victoria
24,AEP Texas Central Company,Coleto Creek
24,AEP Texas Central Company,La Palma #7
24,AEP Texas Central Company,J.L. Bates
24,AEP Texas Central Company,E.S. Joslin
24,AEP Texas Central Company,B.M. Davis
24,AEP Texas Central Company,Oklaunion
24,AEP Texas Central Company,STP
24,AEP Texas Central Company,Eagle Pass Hydro
25,Central Vermont Public Service Corporation,Rutland
25,Central Vermont Public Service Corporation,Ascutney
25,Central Vermont Public Service Corporation,Diesel:
25,Central Vermont Public Service Corporation,St. Albans
25,Central Vermont Public Service Corporation,Hydro:                       License No.
25,Central Vermont Public Service Corporation,Pittsford
25,Central Vermont Public Service Corporation,Weybridge                    2731
25,Central Vermont Public Service Corporation,Glen
25,Central Vermont Public Service Corporation,Patch
25,Central Vermont Public Service Corporation,Carver Falls                 11475
25,Central Vermont Public Service Corporation,Cavendish                     2489
25,Central Vermont Public Service Corporation,Salisbury
25,Central Vermont Public Service Corporation,Silver Lake                   11478
25,Central Vermont Public Service Corporation,Middlebury Lower          2737
25,Central Vermont Public Service Corporation,Taftsville                         2490
25,Central Vermont Public Service Corporation,Fairfax                            2205
25,Central Vermont Public Service Corporation,Pierce Mills                      2396
25,Central Vermont Public Service Corporation,Arnold Falls                    2399
25,Central Vermont Public Service Corporation,Gage                              2397
25,Central Vermont Public Service Corporation,Passumpsic                    2400
25,Central Vermont Public Service Corporation,Milton                              2205
25,Central Vermont Public Service Corporation,Clark Falls                       2205
25,Central Vermont Public Service Corporation,Peterson                         2205
25,Central Vermont Public Service Corporation,Smith                               2488
25,Central Vermont Public Service Corporation,East Barnet                     3051
25,Central Vermont Public Service Corporation,Total Hydro
25,Central Vermont Public Service Corporation,Hydro:
25,Central Vermont Public Service Corporation,Weybridge
25,Central Vermont Public Service Corporation,Carver Falls
25,Central Vermont Public Service Corporation,Cavendish
25,Central Vermont Public Service Corporation,Silver Lake
25,Central Vermont Public Service Corporation,Middlebury Lower
25,Central Vermont Public Service Corporation,Taftsville
25,Central Vermont Public Service Corporation,Fairfax
25,Central Vermont Public Service Corporation,Pierce Mills
25,Central Vermont Public Service Corporation,Arnold Falls
25,Central Vermont Public Service Corporation,Gage
25,Central Vermont Public Service Corporation,Passumpsic
25,Central Vermont Public Service Corporation,Milton
25,Central Vermont Public Service Corporation,Clark Falls
25,Central Vermont Public Service Corporation,Peterson
25,Central Vermont Public Service Corporation,Smith
25,Central Vermont Public Service Corporation,East Barnet
25,Central Vermont Public Service Corporation,Proctor
25,Central Vermont Public Service Corporation,Center Rutland
25,Central Vermont Public Service Corporation,Beldens
25,Central Vermont Public Service Corporation,Huntington Falls
27,"Duke Energy Ohio, Inc.",Miami Fort 5 & 6
27,"Duke Energy Ohio, Inc.",Miami Fort 7 & 8 CGE
27,"Duke Energy Ohio, Inc.",Beckjord 1-5
27,"Duke Energy Ohio, Inc.",Beckjord 6 CGE
27,"Duke Energy Ohio, Inc.",East Bend CGE
27,"Duke Energy Ohio, Inc.",Zimmer CGE
27,"Duke Energy Ohio, Inc.",Miami Fort GT
27,"Duke Energy Ohio, Inc.",Beckjord GT
27,"Duke Energy Ohio, Inc.",Dicks Creek GT
27,"Duke Energy Ohio, Inc.",Woodsdale GT
27,"Duke Energy Ohio, Inc.",Stuart CGE
27,"Duke Energy Ohio, Inc.",Killen CGE
27,"Duke Energy Ohio, Inc.",Conesville 4 CGE
27,"Duke Energy Ohio, Inc.",Sugar Creek
27,"Duke Energy Ohio, Inc.",Miami Fort 5
27,"Duke Energy Ohio, Inc.",Fayette
27,"Duke Energy Ohio, Inc.",Lee
27,"Duke Energy Ohio, Inc.",Washington
27,"Duke Energy Ohio, Inc.",Vermillion
27,"Duke Energy Ohio, Inc.",Hanging Rock
27,"Duke Energy Ohio, Inc.",Miami Fort 7-8 DEO
27,"Duke Energy Ohio, Inc.",Beckjord 1-5 DEO
27,"Duke Energy Ohio, Inc.",Beckjord 6 DEO
27,"Duke Energy Ohio, Inc.",Zimmer DEO
27,"Duke Energy Ohio, Inc.",Stuart DEO
27,"Duke Energy Ohio, Inc.",Killen 2 DEO
27,"Duke Energy Ohio, Inc.",Conesville 4 DEO
27,"Duke Energy Ohio, Inc.",Miami Fort CT
27,"Duke Energy Ohio, Inc.",Beckjord CT
27,"Duke Energy Ohio, Inc.",Dicks Creek
27,"Duke Energy Ohio, Inc.",   N/A
27,"Duke Energy Ohio, Inc.",N/A
29,CITIZENS COMMUNCIATIONS COMPANY,Internal Combustion
29,CITIZENS COMMUNCIATIONS COMPANY,"Newport, Vermont"
29,CITIZENS COMMUNCIATIONS COMPANY,Hydro
29,CITIZENS COMMUNCIATIONS COMPANY,"Charleston, Vermont"
30,"Cleveland Electric Illuminating Company, The",Beaver Valley
30,"Cleveland Electric Illuminating Company, The",Davis-Besse
30,"Cleveland Electric Illuminating Company, The",Perry
30,"Cleveland Electric Illuminating Company, The",Mansfield
30,"Cleveland Electric Illuminating Company, The",Unseg Nuclear Chgs
31,Columbus Southern Power Company,"CONESVILLE 1,2,3,5,6"
31,Columbus Southern Power Company,PICWAY
31,Columbus Southern Power Company,CONESVILLE 4 - TOTAL
31,Columbus Southern Power Company,CONES. 4 - CSP SHARE
31,Columbus Southern Power Company,ZIMMER - CSP SHARE
31,Columbus Southern Power Company,BECKJORD - CSP SHARE
31,Columbus Southern Power Company,STUART - CSP SHARE
31,Columbus Southern Power Company,WATERFORD
31,Columbus Southern Power Company,"CONESVILLE 3,5,6"
31,Columbus Southern Power Company,DARBY
31,Columbus Southern Power Company,"CONESVILLE 3, 5 & 6"
35,UNITIL Power Corp.,None
35,UNITIL Power Corp.,N/A
36,"Consolidated Edison Company of New York, Inc.",Waterside
36,"Consolidated Edison Company of New York, Inc.",East River(A)
36,"Consolidated Edison Company of New York, Inc.",Hudson Ave
36,"Consolidated Edison Company of New York, Inc.",Hudson Ave Annex
36,"Consolidated Edison Company of New York, Inc.",59th Street
36,"Consolidated Edison Company of New York, Inc.",74th Street
36,"Consolidated Edison Company of New York, Inc.",General
36,"Consolidated Edison Company of New York, Inc.",East River (A)
36,"Consolidated Edison Company of New York, Inc.",East River 6&7
36,"Consolidated Edison Company of New York, Inc.",Hudson Ave.
36,"Consolidated Edison Company of New York, Inc.",East River  6 & 7
36,"Consolidated Edison Company of New York, Inc.","Hudson Ave GT 3,4 &5"
36,"Consolidated Edison Company of New York, Inc.",59th St GT-1
36,"Consolidated Edison Company of New York, Inc.",74th St GT-1&2
36,"Consolidated Edison Company of New York, Inc.","Hudson Ave GT 3,4&5"
36,"Consolidated Edison Company of New York, Inc.",59th St G-1
36,"Consolidated Edison Company of New York, Inc.",74th GT-1&2
36,"Consolidated Edison Company of New York, Inc.",74th St GT 1&2
36,"Consolidated Edison Company of New York, Inc.",NOT APPLICABLE
36,"Consolidated Edison Company of New York, Inc.",none applicable.
36,"Consolidated Edison Company of New York, Inc.",None Applicable
39,"Connecticut Light and Power Company, The",SCHILLER
39,"Connecticut Light and Power Company, The",WYMAN #4
39,"Connecticut Light and Power Company, The",NONE
40,Consolidated Water Power Company,HYDRO PLANTS:
40,Consolidated Water Power Company, Wisconsin Rapids
40,Consolidated Water Power Company,Biron
40,Consolidated Water Power Company,Stevens Point
40,Consolidated Water Power Company,Whiting
40,Consolidated Water Power Company,DuBay
40,Consolidated Water Power Company,Wisconsin Rapids
41,Consumers Energy Company,Campbell 1 & 2
41,Consumers Energy Company,Cobb 4-5
41,Consumers Energy Company,Whiting
41,Consumers Energy Company,Karn 1 & 2
41,Consumers Energy Company,Karn 3 & 4
41,Consumers Energy Company,Weadock 7 & 8
41,Consumers Energy Company,BCCobb 1-3
41,Consumers Energy Company,Campbell 3 (Total)
41,Consumers Energy Company,Campbell 3 (CPCo)
41,Consumers Energy Company,Weadock
41,Consumers Energy Company,Thetford
41,Consumers Energy Company,Morrow
41,Consumers Energy Company,Gaylord
41,Consumers Energy Company,Straits
41,Consumers Energy Company,Campbell
41,Consumers Energy Company,Palisades
41,Consumers Energy Company,Big Rock
41,Consumers Energy Company,Zeeland
41,Consumers Energy Company,Cobb 4 & 5
41,Consumers Energy Company,Cobb 1 - 3
41,Consumers Energy Company,Campbell 3 (CECo)
41,Consumers Energy Company,Cobb 1 & 3
41,Consumers Energy Company,Jackson Gas Plant
41,Consumers Energy Company,Hydraulic:
41,Consumers Energy Company,Foote - FPC #2436
41,Consumers Energy Company,Cooke - FPC #2450
41,Consumers Energy Company,Five Channels - FPC #2453
41,Consumers Energy Company,Loud - FPC #2449
41,Consumers Energy Company,Alcona - FPC #2447
41,Consumers Energy Company,Mio -  FPC #2448
41,Consumers Energy Company,Croton - FPC #2468
41,Consumers Energy Company,Rogers - FPC #2451
41,Consumers Energy Company,Webber - FPC #2566
41,Consumers Energy Company,Calkins Bridge (Allegan) - FPC #785
41,Consumers Energy Company,Hydro:
41,Consumers Energy Company,Wind:
41,Consumers Energy Company,Lake Winds Energy Park
41,Consumers Energy Company,Cross Winds Energy Park
41,Consumers Energy Company,HARDY
41,Consumers Energy Company,HODENPYL
41,Consumers Energy Company,TIPPY
41,Consumers Energy Company,LUDINGTON (Total)
41,Consumers Energy Company,LUDINGTON (CPCo %)
41,Consumers Energy Company,LUDINGTON (CECo%)
41,Consumers Energy Company,LUDINGTON(Total)
41,Consumers Energy Company,LUDINGTON(CECo%)
41,Consumers Energy Company,LUDINGTON(CECo %)
42,The Dayton Power and Light Company,F. M. Tait
42,The Dayton Power and Light Company,Sidney
42,The Dayton Power and Light Company,O.H. Hutchings
42,The Dayton Power and Light Company,O. H. Hutchings
42,The Dayton Power and Light Company,J. M. Stuart
42,The Dayton Power and Light Company,Yankee
42,The Dayton Power and Light Company,Killen
42,The Dayton Power and Light Company,Monument
42,The Dayton Power and Light Company,East Bend
42,The Dayton Power and Light Company,Miami Fort
42,The Dayton Power and Light Company,W. H. Zimmer
42,The Dayton Power and Light Company,W. C. Beckjord
42,The Dayton Power and Light Company,Conesville
42,The Dayton Power and Light Company,Killen Bio (See (d))
42,The Dayton Power and Light Company,Yankee Solar #1
44,The Detroit Edison Company,Belle River (Total)
44,The Detroit Edison Company,Belle River (Deco)
44,The Detroit Edison Company,Conners Creek
44,The Detroit Edison Company,Fermi 2
44,The Detroit Edison Company,Monroe PP
44,The Detroit Edison Company,Greenwood EC
44,The Detroit Edison Company,Trenton Channel PP
44,The Detroit Edison Company,River Rouge
44,The Detroit Edison Company,River Rouge (cont'd)
44,The Detroit Edison Company,Marysville
44,The Detroit Edison Company,Northeast
44,The Detroit Edison Company,Placid
44,The Detroit Edison Company,Harbor Beach
44,The Detroit Edison Company,St. Clair PP
44,The Detroit Edison Company,St. Clair PP(cont'd)
44,The Detroit Edison Company,Putnam
44,The Detroit Edison Company,Superior
44,The Detroit Edison Company,Enrico Fermi
44,The Detroit Edison Company,Hancock
44,The Detroit Edison Company,Belle River
44,The Detroit Edison Company,Dayton
44,The Detroit Edison Company,Slocum
44,The Detroit Edison Company,Colfax
44,The Detroit Edison Company,Wilmont
44,The Detroit Edison Company,Monroe
44,The Detroit Edison Company,Greenwood
44,The Detroit Edison Company,Oliver
44,The Detroit Edison Company,St. Clair
44,The Detroit Edison Company,Delray
44,The Detroit Edison Company,Belle River DTE-81%
44,The Detroit Edison Company,Harbor Beach (Ret.)
44,The Detroit Edison Company,Belle River (Oil)
44,The Detroit Edison Company,Dayton (Ret.)
44,The Detroit Edison Company,Belle River (Gas)
44,The Detroit Edison Company,Northeast Peaker
44,The Detroit Edison Company,Placid Peaker
44,The Detroit Edison Company,St. Clair PP Cont.
44,The Detroit Edison Company,Putnam Peaker
44,The Detroit Edison Company,Superior Peaker
44,The Detroit Edison Company,Enrico Fermi Peaker
44,The Detroit Edison Company,Hancock Peaker
44,The Detroit Edison Company,River Rouge Peaker
44,The Detroit Edison Company,Belle River (Oil) Pk
44,The Detroit Edison Company,Slocum Peaker
