report_year,respondent_id,record_number,plant_name,nice_plant_name,kind_of_plant,ferc_license,yr_constructed,capacity_rating,net_demand,net_generation,plant_cost,plant_cost_mw,operation,expns_fuel,expns_maint,kind_of_fuel,fuel_cost
2004,61,2,Middlesex Station # 2,Middlesex Station,hydro,,1928,3.2,0,11775,1655021,515184,44040,0,80161,,0
2004,61,3,Marshfield Station # 6,Marshfield Station,hydro,,1927,5,0,2990,3432531,488445,40183,0,105197,,0
2004,61,4,Vergennes Station # 9 C,Vergennes Station Hydro,hydro,2674,1912,2.4,0,7457,3430074,434030,75730,0,191396,,0
2004,61,5,"W, Danville Station # 15",W. Danville Station,hydro,,1917,1,0,2675,955912,884911,49422,0,40019,,0
2004,61,6,Gorge Station # 18,Gorge Station,hydro,,1928,3,0,10428,2274415,758738,59873,0,63551,,0
2004,61,7,Essex station # 19 B,Essex Station Hydro,hydro,2531,1917,7.2,0,37929,8635815,760339,173099,0,216300,,0
2004,61,8,Waterbury Station # 22 A,Waterbury Station,hydro,2090,1953,5.52,0,11416,1359604,246305,53119,0,33282,,0
2004,61,9,DeForge station # 1 D,DeForge Station,hydro,2879,1986,7.5,0,16847,13587050,1781638,77375,0,115858,,0
2004,61,10,TOTAL,,,,,0,0,0,0,5869590,0,0,0,,0
2004,61,12,DIESEL,,,,,0,0,0,0,0,0,0,0,,0
2004,61,13,Vergennes Station # 9,Vergenes Station Diesel,internal_combustion,,1963,4,0,606,0,0,135528,56512,8860,# 2 OIL,0
2004,61,14,Essex Station # 19,Essex Station Diesel,internal_combustion,,1947,4,0,80,0,0,18926,7703,19870,# 2 OIL,0
2004,61,16,  ( A ) License # 2090,,,,,0,0,0,0,0,0,0,0,,0
2004,61,17, ( B ) License # 2531,,,,,0,0,0,0,0,0,0,0,,0
2004,61,18, ( C ) License # 2674,,,,,0,0,0,0,0,0,0,0,,0
2004,61,19, ( D ) License # 2879,,,,,0,0,0,0,0,0,0,0,,0
2004,61,21,Cost of plant for diesel plants is included in,,,,,0,0,0,0,0,0,0,0,,0
2004,61,22,the Hydro plant above,,,,,0,0,0,0,0,0,0,0,,0
2004,70,1,Hydro:,,,,,0,0,0,0,0,0,0,0,,0
2004,70,2, Clear Lakes,,hydro,,1937,2.5,2.5,15799,1718350,687340,13927,0,64476,,0
2004,70,3, Thousand Springs,,hydro,,1912,8.8,6.2,52555,4691209,533092,180969,0,91368,,0
2004,70,6,Internal Combustion:,,,,,0,0,0,0,0,0,0,0,,0
2004,70,7, Salmon Diesel (1),,internal_combustion,,1967,5,5,136,901055,180211,0,0,0,Diesel,0
2004,70,17,(1) Salmon units are classified as standby.,,,,,0,0,0,0,0,0,0,0,,0
2004,71,1,State Farm (1),,internal_combustion,,1996,5.25,0,1210000,1031250,710758,0,7202,7438,Oil,6
2004,73,1,Hydroelectric,,,,,0,0,0,0,0,0,0,0,,0
2004,73,2,Berrien Springs,,hydro,,1908,7.2,7,37976,13975128,1940990,344315,0,223619,,0
2004,73,3,Buchanan (Project #2551),Buchanan,hydro,2551,1919,4.1,3,18581,7007694,1709194,190059,0,134840,,0
2004,73,4,Constantine (Project #10661),Constantine,hydro,10661,1921,1.2,2,5420,2261449,1884541,68816,0,36408,,0
2004,73,5,Elkhart (Project #2651),Elkhart,hydro,2651,1913,3.44,4,19345,5660811,1645585,170246,0,130957,,0
2004,73,6,Mottville (Project #401),Mottville,hydro,401,1923,1.6,2,7665,3022631,1889144,88761,0,59575,,0
2004,73,7,Twin Branch (Project #2579),Twin Branch,hydro,2579,1904,4.8,6,28062,10828289,2255894,228611,0,269677,,0
2004,74,1,Internal Combustion,,,,,0,0,0,0,0,0,0,0,,0
2004,74,2,Petersburg,,internal_combustion,,1967,8.25,8.3,111000,711880,86288,0,9169,79757,oil,8
2004,74,3,Harding Street Station,,internal_combustion,,1967,2.75,2.8,40000,237154,86238,0,2212,574,oil,7
2004,74,4,Eagle Valley,,internal_combustion,,1967,2.75,2.8,144000,324512,118004,0,10316,5943,oil,8
2004,80,1,Evans (diesel) -- formerly Wichita Diesel,,internal_combustion,,1969,2.9,0,44000,1549285,534,0,0,0,#2 Oil,0
2004,80,3,Westar Wind (wind turbines) -- 20%,Westar Wind,wind,,1999,0.3,0,217680,415217,1384,0,0,8687,Wind,0
2004,82,1,USG LOCK #7 PROJECT 539,,,,1927,2.04,0,-21000,853508,0,16602,0,2391,,0
2004,85,1,East Hampton Diesel,,internal_combustion,,1962,6,6,1765000,5210420,0,3600,0,0,Oil,0
2004,85,2,Montauk Diesel,,internal_combustion,,1961,6,6,1213000,2673610,0,466,0,261946,Oil,0
2004,94,1,Lanai City Plant,,,,,0,0,0,0,0,0,0,0,,0
2004,94,2,  L7,Lanai City L7,internal_combustion,,1984,1,0,0,0,0,0,0,0,,0
2004,94,3,  L8,Lanai City L8,internal_combustion,,1985,1,0,0,0,0,0,0,0,,0
2004,94,4,Miki Basin Plant,,,,,0,0,0,0,0,0,0,0,,0
2004,94,5,  LL1,Miki Basin LL1,internal_combustion,,1951,1,0,0,0,0,0,0,0,,0
2004,94,6,  LL2,Miki Basin LL2,internal_combustion,,1954,1,0,0,0,0,0,0,0,,0
2004,94,7,  LL3,Miki Basin LL3,internal_combustion,,1956,1,0,0,0,0,0,0,0,,0
