Table Name / Data Link,File Name,Pages,Freq,Table Description
`f1_capital_stock <https://data.catalyst.coop/ferc1/f1_capital_stock>`_,F1_12.DBF,250-251,A,Capital Stock
`f1_cash_flow <https://data.catalyst.coop/ferc1/f1_cash_flow>`_,F1_13.DBF,120-121,A/Q,Statement of Cash Flows
`f1_cmmn_utlty_p_e <https://data.catalyst.coop/ferc1/f1_cmmn_utlty_p_e>`_,F1_14.DBF,356,A,Common Utility Plant & Expenses
`f1_cmpinc_hedge <https://data.catalyst.coop/ferc1/f1_cmpinc_hedge>`_,F1_CMPINC_HEDGE.DBF,"990, 122(a)(b)",A/Q,"Statement of Accumulated Comparative Income, Comparative Income, and Hedging Activities "
`f1_cmpinc_hedge_a <https://data.catalyst.coop/ferc1/f1_cmpinc_hedge_a>`_,F1_CMPINC_HEDGE_A.DBF,990,,
`f1_co_directors <https://data.catalyst.coop/ferc1/f1_co_directors>`_,F1_18.DBF,105,A,"Names, Titles, and Addresses of Directors"
`f1_codes_val <https://data.catalyst.coop/ferc1/f1_codes_val>`_,F1_76.DBF,,,
`f1_col_lit_tbl <https://data.catalyst.coop/ferc1/f1_col_lit_tbl>`_,F1_79.DBF,,,Descriptive headers for each column in the Form 1. Useful for discerning their semantic content.
`f1_comp_balance_db <https://data.catalyst.coop/ferc1/f1_comp_balance_db>`_,F1_15.DBF,110-111,A/Q,Comparative Balance Sheet (Assets & Other Debits)
`f1_construction <https://data.catalyst.coop/ferc1/f1_construction>`_,F1_16.DBF,217,,Spending on Construction (1994-2002 only)
`f1_control_respdnt <https://data.catalyst.coop/ferc1/f1_control_respdnt>`_,F1_17.DBF,102,A,Control Over Respondent
`f1_cptl_stk_expns <https://data.catalyst.coop/ferc1/f1_cptl_stk_expns>`_,F1_19.DBF,254-254b,A,Capital Stock Expense
`f1_csscslc_pcsircs <https://data.catalyst.coop/ferc1/f1_csscslc_pcsircs>`_,F1_20.DBF,252,,
`f1_dacs_epda <https://data.catalyst.coop/ferc1/f1_dacs_epda>`_,F1_21.DBF,336-337,A,Depreciation & Amortization of Electric Plant (Depreciation & Amortization Charges)
`f1_dscnt_cptl_stk <https://data.catalyst.coop/ferc1/f1_dscnt_cptl_stk>`_,F1_22.DBF,254,,
`f1_edcfu_epda <https://data.catalyst.coop/ferc1/f1_edcfu_epda>`_,F1_23.DBF,336-337,A,Depreciation & Amortization of Electric Plant (Factors Used in Estimating Depreciation Charges)
`f1_elc_op_mnt_expn <https://data.catalyst.coop/ferc1/f1_elc_op_mnt_expn>`_,F1_27.DBF,320-323,A,Electric Operation & Maintenance Expenses
`f1_elc_oper_rev_nb <https://data.catalyst.coop/ferc1/f1_elc_oper_rev_nb>`_,F1_26.DBF,300-301b,A/Q,Electric Operating Revenues (Unbilled Revenues Only)
