report_year,utility_id_ferc1,xbrl_factoid,xbrl_factoid_off_by,abs_diff,ending_balance_off_by,_delta
1997,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,28990668.0,28990668.0,0.0
2021,265,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,14182966.0,14182966.0,0.0
1998,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,21263512.0,21263512.0,0.0
2018,265,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,11028689.0,11028689.0,0.0
1999,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,32487849.0,32487849.0,0.0
2016,265,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,17851298.0,17851298.0,0.0
1996,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,76375125.0,76375125.0,0.0
2000,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,40204821.0,40204821.0,0.0
2022,176,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,34640717.0,34640717.0,0.0
2008,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,194321562.0,194321562.0,0.0
2022,395,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,23962804.0,23962804.0,0.0
2016,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,2107162515.0,2107162515.0,0.0
2016,176,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,30123517.0,30123517.0,0.0
2023,395,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,26320477.0,26320477.0,0.0
2015,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,1821530584.0,1821530584.0,0.0
2017,176,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,14408923.0,14408923.0,0.0
2024,395,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,28505447.0,28505447.0,0.0
2014,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,1003552585.0,1003552585.0,0.0
2007,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,106662457.0,106662457.0,0.0
2018,176,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,17951007.0,17951007.0,0.0
2013,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,660175598.0,660175598.0,0.0
2019,176,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,27169047.0,27169047.0,0.0
2012,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,369131408.0,369131408.0,0.0
2011,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,236469705.0,236469705.0,0.0
